id,title,type,coverImage,sourceUrl,date,location,gpsCoords,feat,description,easterEgg
1,Alaska Mini Island,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Falaska-mini-island.webp?alt=media&token=895e2a40-b4e4-4b08-b631-0f89319edfe8,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Falaska-mini-island.png?alt=media&token=1339e348-864b-4a03-9e07-4a3f23f48b0f,06/2023,Seward,"59.980833, -149.409628",,"Coastal Alaskan island seen from a boat out of Seward, AK.",
2,Bernal Hill Afternoon,image,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-afternoon.webp?alt=media&token=99d81982-8f02-4e00-8cc0-f0494b1caf30,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/images%2Fbernal-hill-afternoon.png?alt=media&token=fb94a173-9056-4e9e-bedd-529530b95a3d,07/2023,Bernal Heights Park,"37.743061, -122.411891",,View westward from the eastern side of Bernal Hill,
3,Fireside Meditation,cinemagraph,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ffireside-meditation-cinemagraph.webp?alt=media&token=2f21e360-1697-4e1b-be66-55e3ad0e6e99,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/cinemagraphs%2Ffireside-meditation-cinemagraph.mp4?alt=media&token=cb88ee30-c924-40a6-bc50-3703377abc29,06/2023,The Sea Ranch,"38.707951, -123.431574",Stephen,#goals to meditate for this long a duration; my back already hurts,
4,The Lost Coast 01,cinemagraph,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftlc01-cinemagraph.webp?alt=media&token=6287bd4a-6b9e-4d89-bc4b-6359d571ec12,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/cinemagraphs%2Ftlc01-cinemagraph.mp4?alt=media&token=7b11684e-d143-449a-b3dd-f96861fb61c2,06/2023,Lost Coast Trail,"40.121131, -124.155867",Michael,Two hikers trekking southbound along TLC,
5,The Lost Coast 02,cinemagraph,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftlc02-cinemagraph.webp?alt=media&token=d21dbdc6-5068-47f2-b82a-232382cf460e,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/cinemagraphs%2Ftlc02_cinemagraph.mp4?alt=media&token=e55de0bd-a08e-4f40-adff-dbd5a0c6ac1d,06/2023,Lost Coast Trail,"40.121131, -124.155867",Michael,Two hikers trekking southbound along TLC,
6,The Sea Ranch,cinemagraph,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Ftsr-sunet-cinemagraph.webp?alt=media&token=e9df3041-85ef-4a42-a366-c51ccdd8db37,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/cinemagraphs%2Ftsr-sunet-cinemagraph.m4v?alt=media&token=6a01df65-976e-4641-b0f9-f89ddce24274,06/2023,The Sea Ranch,"38.691668, -123.436504",Michael,Doesn't get much better than a sunset at TSR,
7,Bernal Hill Sunset,cinemagraph,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-sunset-cinemagraph.webp?alt=media&token=e0751aeb-6a81-4f14-afaa-4abb54d1fdc2,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/cinemagraphs%2Fbernal-hill-sunset-cinemagraph.m4v?alt=media&token=e3d47bce-80aa-4b5b-b3e2-209c5cc2122b,10/2023,Bernal Heights Park,"37.743287, -122.414800",,Sun setting from Bernal Hill in the fall,
8,Pacifica Coast,cinemagraph,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fpacifica-coast-cinemagraph.webp?alt=media&token=6cb3b77e-0ffa-4747-970c-29aca4e7b932,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/cinemagraphs%2Fpacifica-coast-cinemagraph.mp4?alt=media&token=33ab8ba9-1309-4ec5-a60a-0ca9fcaa29b9,04/2023,San Pedro Beach,"37.596198, -122.505898",,Sun sets behind the best GOBM in the world,
9,Bernal Hill Sunrise,cinemagraph,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fbernal-hill-sunrise-cinemagraph.webp?alt=media&token=3f8e827f-a53d-4f2a-a195-8e2c77c8747a,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/cinemagraphs%2Fbernal-hill-sunrise-cinemagraph.mp4?alt=media&token=f98815bd-4c17-4ef3-9455-7b84cec0ef51,04/2023,Bernal Heights Park,"37.743287, -122.414800",,Sun rises over E bay as viewed from Bernal Hils,
10,Boulevard of Broken Dreams,video,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/thumbnails%2Fboulevard-of-broken-dreams.webp?alt=media&token=5522c787-eee0-4eb8-ba9c-6b6260683a96,https://firebasestorage.googleapis.com/v0/b/laundromat-zat.firebasestorage.app/o/videos%2Fboulevard-of-broken-dreams.m4v?alt=media&token=09fcb743-9905-4092-ac93-b4d8003e02ca,06/2023,Denali National Park and Preserve,"61.217381, 149.863129",Eli,alaska is essential,
